Round 11: Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: Jul 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Leclerc,Leclerc,Hamilton,Norris,Incomplete,Hamilton,Antonelli,1,Hamilton,Norris,Hamilton,Hamilton,Incomplete,Hamilton,Verstappen,1,Norris,Leclerc,Leclerc,Norris,Incomplete,Antonelli,Hamilton,1,Norris,Leclerc,Hamilton,Antonelli,Incomplete,Hamilton,Antonelli,1,Norris,Antonelli,Hamilton,Antonelli,Incomplete,Antonelli,Antonelli
2,Verstappen,Antonelli,Antonelli,Hamilton,Incomplete,Verstappen,Hamilton,2,Leclerc,Russell,Antonelli,Leclerc,Incomplete,Norris,Antonelli,2,Hamilton,Hamilton,Antonelli,Leclerc,Incomplete,Hamilton,Antonelli,2,Hamilton,Antonelli,Antonelli,Verstappen,Incomplete,Antonelli,Hamilton,2,Verstappen,Hamilton,Antonelli,Norris,Incomplete,Hamilton,Hamilton
3,Hamilton,Hamilton,Leclerc,Antonelli,Incomplete,Leclerc,Leclerc,3,Norris,Antonelli,Verstappen,Verstappen,Incomplete,Leclerc,Hamilton,3,Antonelli,Antonelli,Hamilton,Antonelli,Incomplete,Leclerc,Leclerc,3,Leclerc,Hamilton,Leclerc,Norris,Incomplete,Leclerc,Russell,3,Antonelli,Leclerc,Leclerc,Verstappen,Incomplete,Verstappen,Russell
,SCORE,,,,,,,,SCORE,,,,,,,,SCORE,,,,,,,4,Antonelli,Russell,Verstappen,Russell,Incomplete,Norris,Leclerc,4,Leclerc,Russell,Verstappen,Russell,Incomplete,Leclerc,Verstappen
,,,,,,,,,,,,,,,,,,,,,,,,5,Piastri,Verstappen,Russell,Leclerc,Incomplete,Verstappen,Norris,5,Hamilton,Verstappen,Russell,Leclerc,Incomplete,Norris,Piastri
,,,,,,,,,,,,,,,,,,,,,,,,6,Verstappen,Norris,Norris,Hamilton,Incomplete,Russell,Piastri,6,Hadjar,Norris,Piastri,Hamilton,Incomplete,Hadjar,Leclerc
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Russell,Hadjar,Hadjar,Hadjar,Incomplete,Piastri,Verstappen,7,Russell,Piastri,Hadjar,Piastri,Incomplete,Russell,Norris
Dad,1),Aston will finish the race better than 2 teams,,,,,,TRUE,3,,,,,,,,,,,,,,,8,Hadjar,Piastri,Piastri,Piastri,Incomplete,Lawson,Lawson,8,Lawson,Hadjar,Norris,Hadjar,Incomplete,Piastri,Lawson
