Round 1: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: March 5 6:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Leclerc,Norris,Russell,Leclerc,Hamilton,Hamilton,Piastri,1,Piastri,Russell,Verstappen,Norris,Verstappen,Norris,Verstappen,1,Russell,Russell,Russell,Russell,Norris,Russell,Norris,1,Russell,Verstappen,Russell,Leclerc,Verstappen,Russell,Piastri,1,Russell,Verstappen,Russell,Russell,Russell,Russell,Piastri
2,Hamilton,Piastri,Leclerc,Hamilton,Russell,Leclerc,Leclerc,2,Antonelli,Antonelli,Russell,Hamilton,Russell,Antonelli,Russell,2,Hamilton,Norris,Verstappen,Leclerc,Piastri,Verstappen,Antonelli,2,Antonelli,Russell,Verstappen,Piastri,Norris,Leclerc,Russell,2,Antonelli,Russell,Verstappen,Leclerc,Verstappen,Leclerc,Russell
3,Verstappen,Russell,Verstappen,Antonelli,Piastri,Piastri,Verstappen,3,Russell,Leclerc,Leclerc,Piastri,Antonelli,Leclerc,Piastri,3,Leclerc,Leclerc,Norris,Verstappen,Verstappen,Hamilton,Russell,3,Hadjar,Piastri,Leclerc,Russell,Antonelli,Verstappen,Norris,3,Leclerc,Piastri,Leclerc,Verstappen,Hamilton,Verstappen,Verstappen
,SCORE,0,4,6,1,2,4,,SCORE,4,1,1,2,3,2,,SCORE,6,3,4,0,4,1,4,Leclerc,Leclerc,Hamilton,Verstappen,Russell,Piastri,Verstappen,4,Hamilton,Leclerc,Hamilton,Hamilton,Piastri,Antonelli,Norris
,,,,,,,,,,,,,,,,,,,,,,,,5,Piastri,Antonelli,Norris,Hamilton,Hamilton,Hamilton,Leclerc,5,Norris,Antonelli,Norris,Antonelli,Antonelli,Hamilton,Leclerc
,,,,,,,,,,,,,,,,,,,,,,,,6,Norris,Norris,Piastri,Norris,Leclerc,Norris,Antonelli,6,Verstappen,Norris,Piastri,Norris,Leclerc,Norris,Hamilton
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Hamilton,Hamilton,Hadjar,Antonelli,Piastri,Antonelli,Hamilton,7,Bearman,Hamilton,Hadjar,Piastri,Norris,Piastri,Antonelli
Dad,1),Lindblad DNF,,,,,,FALSE,0,,,,,,,,,,,,,,,8,Lawson,Hadjar,Sainz,Gasly,Sainz,Gasly,Albon,8,Lindblad,Hadjar,Sainz,Ocon,Sainz,Bearman,Sainz
