Round 2: China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: March 12 9:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,SPRINT QUALI,,,,,,,,SPRINT,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Russell,Russell,Russell,Antonelli,Russell,Russell,Russell,1,Russell,Russell,Russell,Russell,Russell,Russell,Russell,1,Russell,Verstappen,Russell,Hamilton,Leclerc,Hamilton,Leclerc,1,Antonelli,Russell,Russell,Russell,Russell,Russell,Russell,1,Antonelli,Verstappen,Russell,Russell,Verstappen,Russell,Leclerc
2,Antonelli,Antonelli,Antonelli,Russell,Verstappen,Hamilton,Hamilton,2,Antonelli,Antonelli,Antonelli,Hamilton,Leclerc,Antonelli,Antonelli,2,Leclerc,Hamilton,Antonelli,Leclerc,Hamilton,Leclerc,Russell,2,Russell,Antonelli,Antonelli,Antonelli,Leclerc,Antonelli,Antonelli,2,Russell,Russell,Antonelli,Verstappen,Russell,Antonelli,Hamilton
3,Norris,Hamilton,Leclerc,Hamilton,Leclerc,Antonelli,Leclerc,3,Norris,Hamilton,Leclerc,Antonelli,Antonelli,Hamilton,Leclerc,3,Hamilton,Russell,Leclerc,Russell,Antonelli,Russell,Antonelli,3,Hamilton,Hamilton,Leclerc,Verstappen,Antonelli,Verstappen,Hamilton,3,Hamilton,Antonelli,Leclerc,Hamilton,Antonelli,Verstappen,Antonelli
,SCORE,6,6,2,3,4,3,4,Hamilton,Leclerc,Hamilton,Leclerc,Hamilton,Leclerc,Hamilton,4,Norris,Antonelli,Hamilton,Antonelli,Russell,Antonelli,Hamilton,4,Leclerc,Leclerc,Hamilton,Hamilton,Verstappen,Hamilton,Verstappen,4,Leclerc,Hamilton,Hamilton,Leclerc,Leclerc,Hamilton,Russell
,,,,,,,,5,Piastri,Verstappen,Piastri,Piastri,Norris,Verstappen,Verstappen,5,Antonelli,Leclerc,Piastri,Piastri,Verstappen,Verstappen,Verstappen,5,Piastri,Verstappen,Norris,Leclerc,Hamilton,Hadjar,Leclerc,5,Bearman,Leclerc,Piastri,Piastri,Hamilton,Leclerc,Verstappen
,,,,,,,,,SCORE,11,16,10,10,11,13,6,Piastri,Piastri,Norris,Verstappen,Norris,Hadjar,Hadjar,6,Norris,Piastri,Piastri,Piastri,Piastri,Leclerc,Hadjar,6,Gasly,Piastri,Verstappen,Antonelli,Hadjar,Hadjar,Piastri
,,,,,,,,,,,,,,,,7,Lawson,Norris,Verstappen,Norris,Piastri,Bearman,Piastri,7,Gasly,Norris,Verstappen,Hadjar,Norris,Piastri,Lindblad,7,Lawson,Norris,Norris,Norris,Piastri,Piastri,Hadjar
,,,,,,,,,,,,,,,,8,Bearman,Hadjar,Hadjar,Lindblad,Hadjar,Piastri,Norris,8,Verstappen,Hadjar,Hadjar,Norris,Hadjar,Norris,Norris,8,Hadjar,Hadjar,Hadjar,Hadjar,Norris,Norris,Lindblad
,,,,,,,,,,,,,,,,,SCORE,37,39,42,32,42,32,9,Hadjar,Lindblad,Lawson,Bearman,Lindblad,Lawson,Piastri,9,Sainz,Lindblad,Bortoleto,Bearman,Bearman,Ocon,Ocon
,,,,,,,,,,,,,,,,,,,,,,,,10,Bearman,Hulkenburg,Lindblad,Lindblad,Sainz,Ocon,Bearman,10,Colapinto,Sainz,Ocon,Lindblad,Lindblad,Bearman,Lawson
,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,18,12,12,11,11,19,11,Hulkenburg,Albon,Lawson,Ocon,Bortoleto,Lindblad,Bearman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Lindblad,Hulkenburg,Sainz,Albon,Albon,Hulkenburg,Hulkenburg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Bottas,Bearman,Lindblad,Bortoleto,Ocon,Albon,Norris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Ocon,Ocon,Bearman,Sainz,Hulkenburg,Lawson,Albon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Perez,Bortoleto,Hulkenburg,Hulkenburg,Sainz,Bortoleto,Bortoleto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Verstappen,Lawson,Albon,Gasly,Gasly,Gasly,Sainz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Alonso,Colapinto,Bortoleto,Lawson,Colapinto,Sainz,Gasly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Stroll,Gasly,Colapinto,Colapinto,Lawson,Colapinto,Colapinto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Piastri,Bottas,Bottas,Perez,Perez,Perez,Bottas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Norris,Perez,Perez,Bottas,Bottas,Bottas,Perez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Bortoleto,Alonso,Alonso,Stroll,Stroll,Stroll,Alonso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Albon,Stroll,Stroll,Alonso,Alonso,Alonso,Stroll
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,105,140,125,100,90
