Round 3: Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: March 26 8:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Russell,Leclerc,Russell,Russell,Russell,Russell,Russell,1,Piastri,Hamilton,Russell,Russell,Russell,Antonelli,Antonelli,1,Antonelli,Russell,Russell,Leclerc,Antonelli,Russell,Russell,1,Antonelli,Antonelli,Russell,Russell,Russell,Russell,Russell,1,Antonelli,Hamilton,Russell,Russell,Russell,Russell,Russell
2,Antonelli,Hamilton,Antonelli,Leclerc,Leclerc,Leclerc,Antonelli,2,Antonelli,Bearman,Antonelli,Antonelli,Antonelli,Russell,Russell,2,Russell,Hamilton,Antonelli,Russell,Norris,Antonelli,Hamilton,2,Russell,Russell,Antonelli,Antonelli,Antonelli,Antonelli,Antonelli,2,Piastri,Russell,Antonelli,Antonelli,Antonelli,Antonelli,Antonelli
3,Norris,Gasly,Leclerc,Norris,Hamilton,Norris,Hamilton,3,Russell,Leclerc,Hamilton,Leclerc,Norris,Piastri,Hadjar,3,Leclerc,Antonelli,Leclerc,Norris,Verstappen,Norris,Antonelli,3,Piastri,Hamilton,Leclerc,Leclerc,Leclerc,Leclerc,Leclerc,3,Leclerc,Leclerc,Leclerc,Leclerc,Leclerc,Leclerc,Leclerc
,SCORE,0,6,6,3,6,6,,SCORE,0,4,4,4,3,2,,SCORE,2,5,4,3,2,2,4,Leclerc,Leclerc,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,4,Russell,Antonelli,Hamilton,Hamilton,Hamilton,Hamilton,Piastri
,,,,,,,,,,,,,,,,,,,,,,,,5,Norris,Verstappen,Norris,Norris,Verstappen,Norris,Piastri,5,Norris,Verstappen,Verstappen,Norris,Verstappen,Norris,Hamilton
,,,,,,,,,,,,,,,,,,,,,,,,6,Hamilton,Bearman,Piastri,Verstappen,Bearman,Piastri,Verstappen,6,Hamilton,Hadjar,Norris,Bearman,Norris,Piastri,Norris
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Gasly,Hadjar,Hadjar,Bearman,Norris,Verstappen,Hadjar,7,Gasly,Bearman,Piastri,Piastri,Bearman,Bearman,Hadjar
Dad,1),Commentators will say the names of Alonzos wife and new baby,,,,,,FALSE,0,,,,,,,,,,,,,,,8,Hadjar,Lindblad,Verstappen,Piastri,Sainz,Bearman,Norris,8,Verstappen,Ocon,Hadjar,Lawson,Lawson,Verstappen,Lindblad
