Round 5: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: May 22 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,SPRINT QUALI,,,,,,,,SPRINT,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Antonelli,Gasly,Piastri,Hamilton,Leclerc,Piastri,Russell,1,Russell,Leclerc,Russell,Piastri,Leclerc,Antonelli,Norris,1,Russell,Russell,Russell,Piastri,Antonelli,Russell,Norris,1,Russell,Antonelli,Russell,Antonelli,Russell,Russell,Russell,1,Antonelli,Antonelli,Russell,Antonelli,Russell,Russell,Russell
2,Russell,Piastri,Russell,Piastri,Verstappen,Verstappen,Piastri,2,Antonelli,Hamilton,Piastri,Antonelli,Norris,Russell,Russell,2,Norris,Antonelli,Antonelli,Russell,Russell,Norris,Russell,2,Antonelli,Hamilton,Antonelli,Russell,Antonelli,Antonelli,Antonelli,2,Hamilton,Russell,Antonelli,Piastri,Antonelli,Antonelli,Antonelli
3,Hamilton,Colapinto,Verstappen,Leclerc,Antonelli,Hamilton,Antonelli,3,Norris,Russell,Leclerc,Russell,Antonelli,Norris,Antonelli,3,Antonelli,Hamilton,Piastri,Antonelli,Leclerc,Piastri,Antonelli,3,Norris,Russell,Piastri,Piastri,Hamilton,Piastri,Norris,3,Verstappen,Hamilton,Piastri,Russell,Norris,Norris,Piastri
,SCORE,0,3,0,1,3,2,4,Piastri,Antonelli,Antonelli,Hamilton,Russell,Piastri,Piastri,4,Piastri,Leclerc,Hamilton,Leclerc,Piastri,Leclerc,Piastri,4,Piastri,Leclerc,Leclerc,Hamilton,Norris,Norris,Leclerc,4,Leclerc,Leclerc,Hamilton,Hamilton,Piastri,Piastri,Leclerc
,,,,,,,,5,Hamilton,Norris,Norris,Leclerc,Hamilton,Leclerc,Leclerc,5,Leclerc,Norris,Norris,Norris,Hamilton,Verstappen,Verstappen,5,Hamilton,Verstappen,Norris,Leclerc,Leclerc,Leclerc,Piastri,5,Hadjar,Verstappen,Leclerc,Norris,Leclerc,Verstappen,Verstappen
,,,,,,,,,SCORE,4,8,8,6,8,6,6,Hamilton,Verstappen,Leclerc,Hamilton,Verstappen,Antonelli,Leclerc,6,Verstappen,Norris,Hamilton,Norris,Piastri,Hamilton,Hamilton,6,Colapinto,Norris,Verstappen,Leclerc,Hamilton,Leclerc,Norris
,,,,,,,,,,,,,,,,7,Verstappen,Piastri,Verstappen,Verstappen,Norris,Hamilton,Hamilton,7,Hadjar,Piastri,Gasly,Verstappen,Verstappen,Verstappen,Verstappen,7,Lawson,Piastri,Norris,Verstappen,Verstappen,Hamilton,Hamilton
,,,,,,,,,,,,,,,,8,Lindblad,Gasly,Gasly,Colapinto,Bearman,Gasly,Bortoleto,8,Leclerc,Gasly,Verstappen,Bearman,Bearman,Gasly,Bearman,8,Gasly,Gasly,Gasly,Bearman,Sainz,Gasly,Hadjar
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,SCORE,42,47,48,40,45,50,9,Lindblad,Colapinto,Colapinto,Gasly,Lawson,Hadjar,Hadjar,9,Sainz,Colapinto,Bearman,Hadjar,Bearman,Hadjar,Gasly
Dad,1),Commentator will mention that Toto will never let Kimi compete in endurance racing.,,,,,,FALSE,0,,,,,,,,,,,,,,,10,Colapinto,Bearman,Bearman,Bortoleto,Bortoleto,Bearman,Incomplete,10,Bearman,Hadjar,Hadjar,Colapinto,Gasly,Bearman,Bearman
,2),"Haas drivers will have contact in the Sprint or Race in the first 5 laps and Ocon will get the penalty. ",,,,,,FALSE,,,,,,,,,,,,,,,,,SCORE,10,21,10,20,22,24,11,Piastri,Bearman,Colapinto,Gasly,Ocon,Ocon,Lawson
,3),Both Audi drivers will score points in the Race.,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,12,Hulkenburg,Ocon,Sainz,Bortoleto,Hadjar,Sainz,Albon
Mom,1),I break up with Russel when he doesn't win the race.,,,,,,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,13,Bortoleto,Sainz,Ocon,Albon,Lawson,Lawson,Sainz
,2),Rees moves up to 4th place on our score board ,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,14,Ocon,Lawson,Hulkenburg,Lawson,Bortoleto,Bortoleto,Bortoleto
,3),Kimi eats gummy worms in the debrief room,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,15,Stroll,Albon,Lawson,Sainz,Colapinto,Colapinto,Colapinto
Quincey,1),Groundhog crosses the road,,,,,,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,16,Bottas,Lindblad,Bortoleto,Hulkenburg,Alonso,Hulkenburg,Ocon
,2),Race graphics show the wrong driver name,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,17,Perez,Hulkenburg,Lindblad,Lindblad,Albon,Perez,Alonso
,3),Russell cries on camera,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,18,Norris,Bortoleto,Alonso,Perez,Stroll,Alonso,Stroll
Wynn,1),Groundhog on car,,,,,,TRUE,6,,,,,,,,,,,,,,,,,,,,,,,19,Russell,Bottas,Perez,Alonso,Perez,Bottas,Perez
,2),Groundhog in pit,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,20,Alonso,Perez,Bottas,Bottas,Bottas,Stroll,Bortoleto
,3),5+ second pit,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,21,Albon,Alonso,Stroll,Ocon,Lindblad,Lindblad,Lindblad
Paige,1),Both Haas score in the points in the race,,,,,,FALSE,3,,,,,,,,,,,,,,,,,,,,,,,22,Lindblad,Stroll,Albon,Stroll,Hulkenburg,Albon,Bottas
,2),First for one or both of the qualis will NOT be a Mercedes driver,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,160,105,110,80,145,120
,3),Each driver on the race podium will be from a different team,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rees,1),Both astons place above the cadilacs,,,,,,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2),russell jumps in lake,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3),Contact from teammates leads to debris,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
