Round 7: Barcelona-Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: June 12th 5:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Russell,Hamilton,Russell,Hamilton,Hamilton,Russell,Hamilton,1,Norris,Piastri,Leclerc,Hamilton,Antonelli,Norris,Antonelli,1,Russell,Piastri,Antonelli,Leclerc,Antonelli,Russell,Leclerc,1,Russell,Russell,Russell,Antonelli,Russell,Russell,Antonelli,1,Hamilton,Russell,Russell,Antonelli,Antonelli,Antonelli,Antonelli
2,Piastri,Russell,Hamilton,Piastri,Antonelli,Antonelli,Antonelli,2,Russell,Hamilton,Russell,Leclerc,Hamilton,Leclerc,Leclerc,2,Piastri,Norris,Russell,Russell,Leclerc,Hamilton,Russell,2,Hamilton,Antonelli,Antonelli,Hamilton,Antonelli,Antonelli,Russell,2,Russell,Antonelli,Antonelli,Hamilton,Russell,Russell,Hamilton
3,Leclerc,Leclerc,Antonelli,Antonelli,Verstappen,Hamilton,Verstappen,3,Piastri,Russell,Piastri,Verstappen,Leclerc,Verstappen,Russell,3,Leclerc,Russell,Hamilton,Antonelli,Piastri,Antonelli,Antonelli,3,Antonelli,Piastri,Hamilton,Leclerc,Hamilton,Leclerc,Verstappen,3,Norris,Piastri,Hamilton,Leclerc,Leclerc,Leclerc,Russell
,SCORE,4,3,3,0,3,0,,SCORE,2,6,0,0,3,1,,SCORE,2,1,2,2,3,2,4,Norris,Hamilton,Piastri,Russell,Verstappen,Hamilton,Hamilton,4,Verstappen,Verstappen,Verstappen,Norris,Hamilton,Piastri,Norris
,,,,,,,,,,,,,,,,,,,,,,,,5,Verstappen,Norris,Leclerc,Norris,Leclerc,Norris,Piastri,5,Piastri,Hamilton,Piastri,Russell,Verstappen,Verstappen,Verstappen
,,,,,,,,,,,,,,,,,,,,,,,,6,Hadjar,Leclerc,Verstappen,Verstappen,Norris,Verstappen,Leclerc,6,Hadjar,Norris,Hadjar,Piastri,Norris,Norris,Norris
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Piastri,Verstappen,Norris,Piastri,Piastri,Piastri,Norris,7,Gasly,Gasly,Norris,Verstappen,Piastri,Hamilton,Leclerc
Dad,1),"Russell finishes ahead of Antonelli in every session including the race",,,,,,TRUE,6,,,,,,,,,,,,,,,8,Lawson,Hadjar,Hadjar,Lawson,Hadjar,Hadjar,Hadjar,8,Lawson,Hadjar,Leclerc,Hadjar,Hadjar,Gasly,Hadjar
