Round 8: Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: June 26th 5:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Antonelli,Hadjar,Russell,Hamilton,Incomplete,Hamilton,Russell,1,Antonelli,Norris,Russell,Leclerc,Incomplete,Antonelli,Antonelli,1,Russell,Antonelli,Russell,Russell,Incomplete,Hamilton,Hamilton,1,Russell,Antonelli,Russell,Antonelli,Incomplete,Antonelli,Russell,1,Russell,Russell,Russell,Hamilton,Incomplete,Hamilton,Antonelli
2,Russell,Piastri,Hamilton,Verstappen,Incomplete,Antonelli,Antonelli,2,Piastri,Piastri,Hamilton,Russell,Incomplete,Hamilton,Hamilton,2,Antonelli,Russell,Hamilton,Antonelli,Incomplete,Antonelli,Russell,2,Leclerc,Norris,Hamilton,Hamilton,Incomplete,Hamilton,Verstappen,2,Verstappen,Verstappen,Hamilton,Antonelli,Incomplete,Antonelli,Verstappen
3,Piastri,Russell,Antonelli,Antonelli,Incomplete,Verstappen,Hamilton,3,Norris,Verstappen,Antonelli,Norris,Incomplete,Norris,Verstappen,3,Hamilton,Piastri,Antonelli,Hamilton,Incomplete,Norris,Verstappen,3,Hamilton,Russell,Antonelli,Russell,Incomplete,Leclerc,Antonelli,3,Antonelli,Norris,Antonelli,Russell,Incomplete,Leclerc,Hamilton
,SCORE,2,2,1,0,1,2,,SCORE,4,1,3,0,6,3,,SCORE,2,5,9,0,4,2,4,Antonelli,Piastri,Leclerc,Norris,Incomplete,Russell,Hamilton,4,Piastri,Antonelli,Verstappen,Verstappen,Incomplete,Russell,Russell
,,,,,,,,,,,,,,,,,,,,,,,,5,Verstappen,Verstappen,Norris,Verstappen,Incomplete,Norris,Norris,5,Hamilton,Hamilton,Leclerc,Leclerc,Incomplete,Verstappen,Piastri
,,,,,,,,,,,,,,,,,,,,,,,,6,Norris,Hamilton,Verstappen,Leclerc,Incomplete,Verstappen,Leclerc,6,Hadjar,Leclerc,Norris,Norris,Incomplete,Norris,Norris
,Other predictions:,,,,,,,Result,SCORE,,,,,,,,,,,,,,,7,Piastri,Leclerc,Piastri,Piastri,Incomplete,Piastri,Piastri,7,Norris,Piastri,Hadjar,Piastri,Incomplete,Hadjar,Leclerc
Dad,1),"Russel refuses the order to swap positions even when Toto comes on the radio",,,,,,FALSE,0,,,,,,,,,,,,,,,8,Hadjar,Gasly,Hadjar,Hadjar,Incomplete,Hadjar,Hadjar,8,Leclerc,Hadjar,Piastri,Hadjar,Incomplete,Piastri,Lawson
