Round 10: Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: ______,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,FP2,,,,,,,,FP3,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Verstappen,Hamilton,Leclerc,Russell,Leclerc,Antonelli,Russell,1,Antonelli,Antonelli,Antonelli,Hamilton,Russell,Russell,Antonelli,1,Antonelli,Leclerc,Hamilton,Antonelli,Hamilton,Antonelli,Hamilton,1,Antonelli,Antonelli,Russell,Antonelli,Russell,Antonelli,Russell,1,Antonelli,Antonelli,Russell,Antonelli,Antonelli,Antonelli,Antonelli
2,Hamilton,Hadjar,Antonelli,Hamilton,Antonelli,Norris,Verstappen,2,Norris,Russell,Russell,Leclerc,Antonelli,Hamilton,Leclerc,2,Norris,Norris,Antonelli,Hamilton,Antonelli,Hamilton,Russell,2,Verstappen,Russell,Antonelli,Russell,Antonelli,Hamilton,Antonelli,2,Leclerc,Verstappen,Antonelli,Russell,Russell,Verstappen,Verstappen
3,Leclerc,Piastri,Verstappen,Antonelli,Hamilton,Verstappen,Hamilton,3,Verstappen,Leclerc,Hamilton,Antonelli,Hamilton,Antonelli,Verstappen,3,Verstappen,Antonelli,Norris,Norris,Verstappen,Antonelli,Antonelli,3,Norris,Hamilton,Hamilton,Hamilton,Leclerc,Verstappen,Hamilton,3,Verstappen,Russell,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton
,SCORE,1,2,3,2,1,2,,SCORE,3,3,1,1,1,6,,SCORE,4,2,4,4,3,1,4,Russell,Leclerc,Norris,Leclerc,Piastri,Russell,Verstappen,4,Hamilton,Norris,Piastri,Piastri,Verstappen,Norris,Russell
,,,,,,,,,,,,,,,,,,,,,,,,5,Leclerc,Verstappen,Leclerc,Norris,Hamilton,Leclerc,Leclerc,5,Piastri,Hamilton,Verstappen,Leclerc,Norris,Russell,Piastri
,,,,,,,,,,,,,,,,,,,,,,,,6,Hamilton,Hadjar,Piastri,Verstappen,Norris,Norris,Piastri,6,Hadjar,Leclerc,Norris,Norris,Piastri,Leclerc,Leclerc
,,,,,,,,,,,,,,,,,,,,,,,,7,Piastri,Norris,Verstappen,Piastri,Verstappen,Piastri,Norris,7,Norris,Lindblad,Leclerc,Verstappen,Leclerc,Piastri,Norris
,,,,,,,,,,,,,,,,,,,,,,,,8,Lindblad,Piastri,Hadjar,Hadjar,Hadjar,Hadjar,Gasly,8,Bortoleto,Piastri,Hadjar,Gasly,Hadjar,Lindblad,Hadjar
,,,,,,,,,,,,,,,,,,,,,,,,9,Bortoleto,Lindblad,Sainz,Lindblad,Sainz,Lawson,Lawson,9,Lindblad,Hadjar,Lawson,Hadjar,Lawson,Bortoleto,Gasly
,,,,,,,,,,,,,,,,,,,,,,,,10,Hadjar,Lawson,Albon,Lawson,Lawson,Bortoleto,Hadjar,10,Colapinto,Lawson,Lindblad,Lawson,Bearman,Lawson,Lawson
,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,16,15,20,10,28,19,11,Gasly,Gasly,Colapinto,Colapinto,Lindblad,Hadjar,Bortoleto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Lawson,Bortoleto,Albon,Lindblad,Sainz,Gasly,Hulkenburg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Hulkenburg,Hulkenburg,Perez,Bortoleto,Bortoleto,Colapinto,Sainz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Bearman,Colapinto,Gasly,Albon,Albon,Sainz,Ocon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Albon,Ocon,Bottas,Ocon,Ocon,Hulkenburg,Perez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Sainz,Bearman,Ocon,Sainz,Gasly,Perez,Bearman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Ocon,Albon,Hulkenburg,Perez,Colapinto,Bearman,Bottas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Bottas,Sainz,Bortoleto,Alonso,Hulkenburg,Bottas,Alonso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Alonso,Perez,Bearman,Stroll,Stroll,Ocon,Stroll
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Stroll,Alonso,Alonso,Hulkenburg,Alonso,Alonso,Lindblad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Perez,Stroll,Stroll,Bottas,Bottas,Stroll,Albon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Russell,Bottas,Lindblad,Bearman,Perez,Albon,Colapinto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,190,100,135,110,165,160
