Round 9: Silverstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTIONS DUE: Jul 2 9:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP1,,,,,,,,SPRINT QUALI,,,,,,,,SPRINT,,,,,,,,QUALI,,,,,,,,RACE,,,,,,
Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees,Position,Result,Dad,Mom,Quincey,Wynn,Paige,Rees
1,Hamilton,Russell,Russell,Norris,Russell,Hamilton,Russell,1,Hamilton,Russell,Russell,Antonelli,Antonelli,Antonelli,Hamilton,1,Antonelli,Antonelli,Russell,Antonelli,Antonelli,Antonelli,Hamilton,1,Antonelli,Antonelli,Russell,Antonelli,Russell,Antonelli,Antonelli,1,Leclerc,Antonelli,Russell,Antonelli,Russell,Antonelli,Hamilton
2,Antonelli,Antonelli,Antonelli,Antonelli,Antonelli,Russell,Hamilton,2,Antonelli,Antonelli,Antonelli,Russell,Russell,Russell,Antonelli,2,Hamilton,Russell,Antonelli,Verstappen,Verstappen,Russell,Russell,2,Leclerc,Russell,Antonelli,Russell,Antonelli,Russell,Russell,2,Russell,Russell,Antonelli,Russell,Antonelli,Russell,Antonelli
3,Leclerc,Norris,Verstappen,Hamilton,Norris,Norris,Norris,3,Verstappen,Norris,Verstappen,Verstappen,Verstappen,Verstappen,Norris,3,Norris,Verstappen,Verstappen,Russell,Russell,Verstappen,Verstappen,3,Hamilton,Verstappen,Verstappen,Hamilton,Verstappen,Hamilton,Hamilton,3,Hamilton,Verstappen,Verstappen,Verstappen,Verstappen,Verstappen,Russell
,SCORE,3,3,4,3,3,1,4,Leclerc,Piastri,Hamilton,Hamilton,Piastri,Hamilton,Russell,4,Russell,Hamilton,Hamilton,Hamilton,Norris,Hamilton,Antonelli,4,Russell,Hamilton,Hamilton,Norris,Piastri,Norris,Norris,4,Norris,Hamilton,Hamilton,Hamilton,Hamilton,Hamilton,Norris
,,,,,,,,5,Russell,Hamilton,Norris,Norris,Leclerc,Norris,Verstappen,5,Leclerc,Leclerc,Norris,Norris,Leclerc,Leclerc,Leclerc,5,Hadjar,Leclerc,Norris,Piastri,Leclerc,Leclerc,Verstappen,5,Hadjar,Leclerc,Piastri,Norris,Norris,Norris,Verstappen
,,,,,,,,,SCORE,7,6,6,6,6,12,6,Verstappen,Hadjar,Leclerc,Piastri,Hamilton,Norris,Piastri,6,Norris,Hadjar,Leclerc,Verstappen,Hamilton,Verstappen,Piastri,6,Lawson,Hadjar,Leclerc,Piastri,Leclerc,Leclerc,Piastri
,,,,,,,,,,,,,,,,7,Piastri,Norris,Piastri,Leclerc,Piastri,Hadjar,Hadjar,7,Verstappen,Norris,Piastri,Leclerc,Norris,Piastri,Leclerc,7,Lindblad,Norris,Norris,Leclerc,Piastri,Piastri,Lawson
,,,,,,,,,,,,,,,,8,Lawson,Piastri,Hadjar,Hadjar,Sainz,Piastri,Lawson,8,Piastri,Piastri,Hadjar,Hadjar,Hadjar,Lawson,Lawson,8,Bortoleto,Piastri,Hadjar,Hadjar,Hadjar,Hadjar,Leclerc
,,,,,,,,,,,,,,,,,SCORE,43,33,35,45,40,38,9,Lindblad,Colapinto,Lawson,Lawson,Lawson,Hadjar,Hadjar,9,Colapinto,Gasly,Lawson,Lawson,Gasly,Lawson,Albon
,,,,,,,,,,,,,,,,,,,,,,,,10,Lawson,Colapinto,Lindblad,Gasly,Gasly,Lindblad,Gasly,10,Gasly,Colapinto,Lindblad,Gasly,Lawson,Lindblad,Hulkenburg
,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,20,13,17,11,21,20,11,Piastri,Hulkenburg,Bortoleto,Lindblad,Lindblad,Gasly,Hadjar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Bearman,Bortoleto,Gasly,Bortoleto,Hulkenburg,Hulkenburg,Gasly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Ocon,Bearman,Sainz,Colapinto,Sainz,Bortoleto,Colapinto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Perez,Ocon,Colapinto,Hulkenburg,Bearman,Colapinto,Ocon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Antonelli,Sainz,Bottas,Albon,Bortoleto,Albon,Sainz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Bottas,Albon,Gasly,Sainz,Colapinto,Ocon,Bottas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Sainz,Lindblad,Stroll,Bottas,Ocon,Perez,Alonso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Alonso,Lawson,Albon,Alonso,Albon,Bottas,Stroll
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Stroll,Perez,Perez,Stroll,Stroll,Alonso,Perez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Verstappen,Bottas,Ocon,Bearman,Alonso,Stroll,Bortoleto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Albon,Alonso,Hulkenburg,Perez,Perez,Sainz,Lindblad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Hulkenburg,Stroll,Bearman,Ocon,Bottas,Ocon,Bearman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCORE,100,90,165,115,100,130
